cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
214.0,1.791759469228055,9.041921720351219,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,1.9459101490553132,9.041921720351219,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
681.0,2.1972245773362196,10.305613759378778,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
319.0,1.791759469228055,10.21464198117305,1.0986122886681096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
780.0,1.9459101490553132,9.735068900911164,0.6931471805599453,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
389.0,1.791759469228055,10.42821608147111,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155.0,1.791759469228055,10.42821608147111,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662.0,1.9459101490553132,10.807705703176014,0.6931471805599453,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1217.0,2.1972245773362196,9.878169744551839,1.3862943611198906,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
496.0,1.791759469228055,9.568014816247999,1.6094379124341003,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62.0,1.791759469228055,9.041921720351219,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
233.0,1.791759469228055,9.878169744551839,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
750.0,2.0794415416798357,11.002099841204238,0.6931471805599453,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
186.0,1.791759469228055,9.367344120785848,0.6931471805599453,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
436.0,1.9459101490553132,11.002099841204238,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
234.0,2.0794415416798357,9.878169744551839,1.0986122886681096,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
151.0,1.791759469228055,8.779557455883728,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
